c,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_8A,Band_11,Band_12
37.58,0.056205001,0.051061898,0.075243697,0.043142799,0.088368297,0.248811007,0.309771001,0.314442009,0.344449013,0.0781921,0.0257158
136.72,0.0544459,0.049436402,0.071289703,0.043983001,0.081957102,0.201434001,0.239231005,0.240586996,0.262082994,0.077776201,0.031238399
95.8,0.0668796,0.068618901,0.081562698,0.060644299,0.092876397,0.161672994,0.184835002,0.193954006,0.205842003,0.089836203,0.043906
71.69,0.063229002,0.0855444,0.100988999,0.058369402,0.094180897,0.206751004,0.250882,0.27273199,0.265727997,0.093058303,0.039792001
116.47,0.0544459,0.0551221,0.074584998,0.0493818,0.081719503,0.179550007,0.216543004,0.203044996,0.245875999,0.081311502,0.0321046
52.05,0.0608899,0.058501601,0.079983801,0.061362501,0.102238998,0.220027,0.259663999,0.252954006,0.286720991,0.100125,0.0483444
72.66,0.0518049,0.052280501,0.0723444,0.043382902,0.081957102,0.198541999,0.241319999,0.239898995,0.260688007,0.076424398,0.0263655
92.65,0.051658101,0.0543104,0.073926099,0.0461431,0.080650397,0.174098,0.2086,0.214082003,0.228891,0.067896202,0.0254992
39.32,0.051658101,0.052551199,0.073662497,0.045543101,0.081482001,0.185461,0.221064001,0.199478999,0.239750996,0.069352403,0.0254992
53.34,0.051951699,0.046861,0.066275999,0.038339399,0.081125602,0.233625993,0.281471997,0.275472999,0.314397991,0.080375701,0.026148999
78.66,0.046808802,0.044147901,0.066936001,0.0365372,0.079581097,0.238001004,0.28847301,0.291557997,0.324638009,0.078296103,0.0249578
87.68,0.038783699,0.039850902,0.061464202,0.035345498,0.0790326,0.197396994,0.220230997,0.235530004,0.234966993,0.0635726,0.0222403
145.89,0.034711398,0.036445901,0.062887102,0.038330302,0.087747999,0.187969998,0.212305993,0.238555998,0.240779996,0.0794999,0.032604601
29.97,0.037207998,0.040701699,0.062175699,0.043855902,0.079825103,0.166290998,0.196761996,0.194584996,0.201397002,0.063471802,0.024291599
70.07,0.034974299,0.037905499,0.059092101,0.040982898,0.070878401,0.141996995,0.163338006,0.175155997,0.170448005,0.047543701,0.017058101
66.38,0.037733302,0.043253001,0.0647837,0.054016098,0.086955898,0.176965997,0.202291995,0.208726004,0.219768003,0.0728468,0.029041899
73.47,0.041014299,0.036567502,0.054938599,0.034792598,0.066912897,0.173932999,0.187575996,0.196942002,0.206705004,0.059439398,0.024831399
61.69,0.036025699,0.0342554,0.062531397,0.031364501,0.085032098,0.222846001,0.259600013,0.285362989,0.28846401,0.068411298,0.023212001
71.06,0.040489599,0.038148701,0.056600299,0.037998699,0.066346303,0.152236998,0.167728007,0.179425001,0.181992993,0.054499701,0.022456201
54.65,0.037602,0.040093999,0.064546697,0.0406514,0.0865032,0.181345999,0.199162006,0.207940996,0.205684006,0.052987501,0.0181378
51.22,0.036682598,0.042038299,0.060634099,0.0434139,0.073823497,0.150886998,0.169295996,0.176166996,0.177702993,0.052281801,0.0186776
135.76,0.0365512,0.0318201,0.045315702,0.030479601,0.067932703,0.162131995,0.196866006,0.219495997,0.203949004,0.090890497,0.0519295
79.06,0.037602,0.0368108,0.058380201,0.036782701,0.073936798,0.160670996,0.182771996,0.178076997,0.183320999,0.057725601,0.023751801
98.29,0.033922601,0.037662301,0.0561256,0.033133999,0.071784697,0.187408999,0.224609002,0.199747995,0.230887994,0.0582297,0.0217005
77.07,0.034974299,0.038392,0.058024298,0.035124298,0.070991702,0.184040993,0.205109,0.213887006,0.217318997,0.059842601,0.023212001
96.76,0.033922601,0.0357159,0.0588548,0.032249201,0.081523202,0.203791007,0.242216006,0.25513801,0.256478995,0.065487899,0.0229961
99.28,0.031028301,0.035229102,0.0611085,0.033133999,0.080164798,0.195602,0.227422997,0.246848002,0.235578999,0.059540201,0.018785501
68.59,0.040358402,0.0431315,0.062412798,0.0434139,0.078919403,0.146835998,0.160307005,0.167290002,0.172695994,0.050971299,0.020297
50.65,0.0365512,0.041795298,0.06182,0.0405409,0.075522304,0.166516006,0.189036995,0.191216007,0.201295003,0.061657201,0.023751801
116.76,0.0492655,0.050533298,0.072246201,0.065491103,0.089558303,0.144473001,0.161457002,0.158186004,0.165950999,0.050668899,0.0227801
14.15,0.0501808,0.065054096,0.0928104,0.108423002,0.123233996,0.150548995,0.161770001,0.142554998,0.165747002,0.112360001,0.070066497
65.37,0.036025699,0.039729301,0.063242801,0.046396799,0.090010799,0.184153005,0.207820997,0.223533005,0.225481004,0.095527202,0.044804201
40.65,0.033922601,0.035959199,0.0539889,0.036451001,0.072237797,0.168313995,0.191646993,0.164706007,0.203540996,0.055104598,0.020620899
48.49,0.031423099,0.033281501,0.0529202,0.028267199,0.074842803,0.216011003,0.248670995,0.25592199,0.257804006,0.065689497,0.0228881
20.58,0.0436363,0.037662301,0.054345001,0.0537953,0.080730803,0.168090001,0.194986999,0.179087996,0.208950996,0.082524002,0.037462801
40.34,0.0312915,0.031332899,0.055769499,0.031475101,0.0799383,0.204799995,0.236487001,0.255026013,0.258720994,0.069620997,0.025911
87.47,0.040489599,0.045317098,0.068338402,0.060527399,0.0865032,0.128711998,0.139700994,0.132317007,0.141821995,0.043611899,0.019541301
78.74,0.032081101,0.031576499,0.0561256,0.032470401,0.0892189,0.244678006,0.28133601,0.275292009,0.304547012,0.077685401,0.0252632
85.23,0.0466487,0.0500484,0.074495003,0.0777262,0.081749603,0.0761443,0.101049997,0.082646497,0.085823499,0.047442801,0.0250473
51.64,0.033264998,0.031698301,0.056956399,0.029815899,0.079372302,0.232813999,0.259912014,0.27462101,0.28479901,0.072342798,0.024399601
86.94,0.0471722,0.047986701,0.069878101,0.078717597,0.101319999,0.153248996,0.174207002,0.185827002,0.178724006,0.072443597,0.035195701
34.74,0.0323442,0.0309675,0.048287299,0.026607599,0.063399702,0.179661006,0.205526993,0.208614007,0.223134995,0.054499701,0.020512899
52.6,0.030238399,0.031332899,0.0475743,0.0267183,0.070991702,0.212648004,0.239299998,0.241021007,0.260657012,0.062262099,0.0217005
