FID,OTC_code,X_UTMWGS84,Y_UTMWGS84,D_0_15,D_15_30,D_30_50,D_50_100,TC,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_8A,Band_11,Band_12,RVI,NDVI,GNDVI,NDI45,SAVI,EVI2,IRECl,MCARI,BI,RI,CI
0,QN11,812634.9379,2384108.035,18.43,19.15,0,0,37.58,0.056205001,0.051061898,0.075243697,0.043142799,0.088368297,0.248811007,0.309771001,0.314442009,0.344449013,0.0781921,0.0257158,7.288400173,0.758699,0.61382401,0.343890995,0.474528998,0.478318006,0.750723004,0.00192663,0.043367401,0.000140051,-0.271153003
1,QN08,811597.4586,2383149.391,20.62,9.85,35.36,70.89,136.72,0.0544459,0.049436402,0.071289703,0.043983001,0.081957102,0.201434001,0.239231005,0.240586996,0.262082994,0.077776201,0.031238399,5.46999979,0.690881014,0.542833984,0.301524997,0.375882,0.365123987,0.479878992,0.00136101,0.041882899,0.00013791,-0.236886993
2,QN09,813773.2944,2382279.377,16.84,8.95,15.9,54.11,95.8,0.0668796,0.068618901,0.081562698,0.060644299,0.092876397,0.161672994,0.184835002,0.193954006,0.205842003,0.089836203,0.043906,3.198220015,0.523608029,0.407929003,0.209952995,0.264993995,0.248805001,0.216183007,0.000965978,0.050818801,0.000299966,-0.147098005
3,QN10,813850.4687,2382802.355,23.85,20.94,26.9,0,71.69,0.063229002,0.0855444,0.100988999,0.058369402,0.094180897,0.206751004,0.250882,0.27273199,0.265727997,0.093058303,0.039792001,4.672520161,0.647423029,0.459551007,0.234751999,0.386889011,0.379316986,0.422612011,0.00133122,0.0583217,0.000344067,-0.267441988
4,QN03,815005.1329,2381114.764,20.48,16.73,16.69,62.57,116.47,0.0544459,0.0551221,0.074584998,0.0493818,0.081719503,0.179550007,0.216543004,0.203044996,0.245875999,0.081311502,0.0321046,4.111750126,0.608744025,0.46270299,0.246663004,0.306335986,0.290686011,0.36727801,0.000999588,0.0447255,0.00018188,-0.203306004
5,QN07,811606.4788,2381665.334,42.81,9.24,0,0,52.05,0.0608899,0.058501601,0.079983801,0.061362501,0.102238998,0.220027,0.259663999,0.252954006,0.286720991,0.100125,0.0483444,4.122290134,0.609549999,0.519527018,0.249855995,0.352919012,0.342072994,0.426759988,0.00148897,0.050405301,0.000301168,-0.131742999
6,QN04,814109.0594,2380904.445,17.97,20.55,34.14,0,72.66,0.0518049,0.052280501,0.0723444,0.043382902,0.081957102,0.198541999,0.241319999,0.239898995,0.260688007,0.076424398,0.0263655,5.529819965,0.693713009,0.536616027,0.30775699,0.376332998,0.365539014,0.479506999,0.00141381,0.042177599,0.000136158,-0.250256985
7,QN05,814067.4769,2380593.277,14.8,15.96,29.79,32.1,92.65,0.051658101,0.0543104,0.073926099,0.0461431,0.080650397,0.174098,0.2086,0.214082003,0.228891,0.067896202,0.0254992,4.639520168,0.645359993,0.48663801,0.272154003,0.331360012,0.316906989,0.350690991,0.00114435,0.0435725,0.000157402,-0.231391996
8,QN06,812708.6774,2379982.026,11.45,27.87,0,0,39.32,0.051658101,0.052551199,0.073662497,0.045543101,0.081482001,0.185461,0.221064001,0.199478999,0.239750996,0.069352403,0.0254992,4.380000114,0.628252983,0.46062699,0.282927006,0.309928,0.294043988,0.399502009,0.0012354,0.043302301,0.000152789,-0.235890001
9,QN01,813523.1458,2378901.384,20.87,19.96,12.51,0,53.34,0.051951699,0.046861,0.066275999,0.038339399,0.081125602,0.233625993,0.281471997,0.275472999,0.314397991,0.080375701,0.026148999,7.185100079,0.755653977,0.612136006,0.358148009,0.437079012,0.433519989,0.700174987,0.00170358,0.038283199,9.74199E-05,-0.267040998
10,QN02,812218.7849,2379154.377,21.2,23.66,33.8,0,78.66,0.046808802,0.044147901,0.066936001,0.0365372,0.079581097,0.238001004,0.28847301,0.291557997,0.324638009,0.078296103,0.0249578,7.979750156,0.777276993,0.626571,0.370689988,0.461941004,0.462246001,0.753458023,0.00174392,0.0381294,8.93575E-05,-0.293783993
11,QN21,789892.076,2378472.689,12.03,9.78,18.79,47.08,87.68,0.038783699,0.039850902,0.061464202,0.035345498,0.0790326,0.197396994,0.220230997,0.235530004,0.234966993,0.0635726,0.0222403,6.663640022,0.739027977,0.586090982,0.381954014,0.38952601,0.379034013,0.461780995,0.00175506,0.0354512,7.67873E-05,-0.269795001
12,QN22,789990.9246,2377794.295,27.96,30.95,22.53,64.45,145.89,0.034711398,0.036445901,0.062887102,0.038330302,0.087747999,0.187969998,0.212305993,0.238555998,0.240779996,0.0794999,0.032604601,6.223680019,0.723133028,0.582759023,0.391959995,0.386592001,0.376208991,0.372684002,0.00219639,0.036823899,9.23946E-05,-0.242614001
13,QN23,789571.1726,2377185.303,14.81,6.47,8.69,0,29.97,0.037207998,0.040701699,0.062175699,0.043855902,0.079825103,0.166290998,0.196761996,0.194584996,0.201397002,0.063471802,0.024291599,4.436910152,0.632143974,0.515690982,0.290823013,0.30617699,0.289898992,0.318533003,0.00116682,0.038043201,0.000119585,-0.172776997
14,QN24,789055.7991,2376877.357,13.56,14.78,20.35,21.38,70.07,0.034974299,0.037905499,0.059092101,0.040982898,0.070878401,0.141996995,0.163338006,0.175155997,0.170448005,0.047543701,0.017058101,4.273869991,0.620772004,0.495474011,0.267255008,0.281033993,0.263390988,0.245125994,0.000823269,0.035956498,9.92509E-05,-0.180956006
15,QN25,788668.0424,2376156.273,19.05,11.02,12.08,24.23,66.38,0.037733302,0.043253001,0.0647837,0.054016098,0.086955898,0.176965997,0.202291995,0.208726004,0.219768003,0.0728468,0.029041899,3.864150047,0.588828027,0.526278973,0.233661994,0.304250985,0.288991004,0.301759988,0.000938958,0.042174298,0.000189022,-0.090636499
16,QN16,802219.1854,2375551.2,9.44,11.57,14.48,37.98,73.47,0.041014299,0.036567502,0.054938599,0.034792598,0.066912897,0.173932999,0.187575996,0.196942002,0.206705004,0.059439398,0.024831399,5.660459995,0.699720025,0.563772976,0.315815985,0.332394004,0.316588014,0.397141993,0.000954788,0.032514501,6.65046E-05,-0.224515006
17,QN18,804325.4411,2375076.722,11.63,12.1,13.4,24.56,61.69,0.036025699,0.0342554,0.062531397,0.031364501,0.085032098,0.222846001,0.259600013,0.285362989,0.28846401,0.068411298,0.023212001,9.098310471,0.801946998,0.640515983,0.461075991,0.466493994,0.466690987,0.598142982,0.0026387,0.0349782,6.1514E-05,-0.331930995
18,QN19,804603.5346,2375143.947,13.38,23.6,34.08,0,71.06,0.040489599,0.038148701,0.056600299,0.037998699,0.066346303,0.152236998,0.167728007,0.179425001,0.181992993,0.054499701,0.022456201,4.721859932,0.650462985,0.520386994,0.27167201,0.29569599,0.278261006,0.297674,0.00074833,0.034086298,8.17253E-05,-0.196637005
19,QN20,805489.7775,2374560.767,12.07,12.19,14.74,15.65,54.65,0.037602,0.040093999,0.064546697,0.0406514,0.0865032,0.181345999,0.199162006,0.207940996,0.205684006,0.052987501,0.0181378,5.11522007,0.67294699,0.526241004,0.360599011,0.335207999,0.320354015,0.332302004,0.00190104,0.038140599,0.000106666,-0.227146
