FID,OTC_code,X_UTMWGS84,Y_UTMWGS84,D_0_15,D_15_30,D_30_50,D_50_100,TC,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_8A,Band_11,Band_12,RVI,NDVI,GNDVI,NDI45,SAVI,EVI2,IRECl,MCARI,BI,RI,CI
20,QN26,788352.5713,2375079.126,27.41,12.03,11.78,0,51.22,0.036682598,0.042038299,0.060634099,0.0434139,0.073823497,0.150886998,0.169295996,0.176166996,0.177702993,0.052281801,0.0186776,4.05783987,0.604574978,0.487890005,0.25938499,0.276730001,0.259209991,0.257288009,0.000844526,0.0372869,0.000114281,-0.165501997
21,QN27,787383.6452,2374819.038,27.3,23.79,35.8,48.87,135.76,0.0365512,0.0318201,0.045315702,0.030479601,0.067932703,0.162131995,0.196866006,0.219495997,0.203949004,0.090890497,0.0519295,7.20138979,0.75613898,0.657751024,0.380573004,0.378044993,0.365559995,0.397107989,0.00123332,0.027306199,4.20986E-05,-0.195739001
22,QN13,803537.8737,2373926.319,16.16,14.45,15.17,33.28,79.06,0.037602,0.0368108,0.058380201,0.036782701,0.073936798,0.160670996,0.182771996,0.178076997,0.183320999,0.057725601,0.023751801,4.841310024,0.657611012,0.506208003,0.335568994,0.296478987,0.278937995,0.317247003,0.00126483,0.0345008,7.89866E-05,-0.226953
23,QN14,803215.9646,2373527.322,22.98,14.7,21.74,38.87,98.29,0.033922601,0.037662301,0.0561256,0.033133999,0.071784697,0.187408999,0.224609002,0.199747995,0.230887994,0.0582297,0.0217005,6.028510094,0.715444982,0.56130302,0.368387014,0.341012001,0.325603992,0.499884009,0.00137283,0.032588098,6.1618E-05,-0.257582009
24,QN15,802444.0845,2374349.537,13.48,9.89,18.62,35.08,77.07,0.034974299,0.038392,0.058024298,0.035124298,0.070991702,0.184040993,0.205109,0.213887006,0.217318997,0.059842601,0.023212001,6.089429855,0.717890024,0.573212028,0.338001013,0.357997,0.344255,0.440672994,0.00119345,0.033913601,7.15856E-05,-0.245842993
25,QN17,805035.8567,2373925.343,14.95,14.14,17.69,49.98,96.76,0.033922601,0.0357159,0.0588548,0.032249201,0.081523202,0.203791007,0.242216006,0.25513801,0.256478995,0.065487899,0.0229961,7.911459923,0.775569975,0.625119984,0.433093011,0.424611002,0.418166995,0.524870992,0.00220454,0.033555601,6.12098E-05,-0.292035013
26,QN12,803931.8914,2372691.131,17.95,17.54,19.55,44.24,99.28,0.031028301,0.035229102,0.0611085,0.033133999,0.080164798,0.195602,0.227422997,0.246848002,0.235578999,0.059540201,0.018785501,7.450009823,0.763314009,0.603136003,0.415104985,0.410999,0.402817994,0.474063009,0.00203265,0.034756701,6.70885E-05,-0.296835989
27,QN33,782005.2265,2369846.559,17.01,21.97,11.08,18.53,68.59,0.040358402,0.0431315,0.062412798,0.0434139,0.078919403,0.146835998,0.160307005,0.167290002,0.172695994,0.050971299,0.020297,3.853379965,0.587916017,0.456577986,0.290235996,0.261451006,0.243567005,0.217489004,0.00114342,0.0380136,0.000117634,-0.179528996
28,QN31,784127.4641,2368792.769,11.23,24.89,14.53,0,50.65,0.0365512,0.041795298,0.06182,0.0405409,0.075522304,0.166516006,0.189036995,0.191216007,0.201295003,0.061657201,0.023751801,4.716639996,0.650143981,0.51137501,0.301400006,0.308863997,0.292344004,0.327414006,0.00112784,0.036963701,0.000101605,-0.207883
29,QN32,783652.6679,2369171.281,16.32,14.39,23.56,62.49,116.76,0.0492655,0.050533298,0.072246201,0.065491103,0.089558303,0.144473001,0.161457002,0.158186004,0.165950999,0.050668899,0.0227801,2.415380001,0.414413989,0.372951001,0.155222997,0.192132995,0.176176995,0.154808998,0.000495897,0.048756,0.00030987,-0.049043
30,QN34,781132.2456,2369116.322,8.72,5.43,0,0,14.15,0.0501808,0.065054096,0.0928104,0.108423002,0.123233996,0.150548995,0.161770001,0.142554998,0.165747002,0.112360001,0.070066497,1.314810038,0.135995999,0.211352006,0.063933201,0.068175398,0.0608299,0.065171599,0.000129235,0.071360603,0.00109104,0.077585697
31,QN35,778486.1509,2369162.247,14.58,8.49,13.51,28.79,65.37,0.036025699,0.039729301,0.063242801,0.046396799,0.090010799,0.184153005,0.207820997,0.223533005,0.225481004,0.095527202,0.044804201,4.817860126,0.656230986,0.55893898,0.319732994,0.345102012,0.331743985,0.330258012,0.00166869,0.039218299,0.00013614,-0.153649002
32,QN50,747029.5666,2353008.505,20.21,20.44,0,0,40.65,0.033922601,0.035959199,0.0539889,0.036451001,0.072237797,0.168313995,0.191646993,0.164706007,0.203540996,0.055104598,0.020620899,4.518539906,0.637584984,0.506262004,0.329259008,0.274378002,0.256060988,0.361607999,0.00115008,0.032570999,7.17339E-05,-0.193917006
33,QN51,748236.091,2353422.343,14.17,19.86,14.46,0,48.49,0.031423099,0.033281501,0.0529202,0.028267199,0.074842803,0.216011003,0.248670995,0.25592199,0.257804006,0.065689497,0.0228881,9.053689957,0.801068008,0.657299995,0.451707989,0.435460001,0.429939002,0.636129022,0.00196508,0.029998301,4.22851E-05,-0.303656012
34,QN41,751578.4781,2351506.827,6.32,14.26,0,0,20.58,0.0436363,0.037662301,0.054345001,0.0537953,0.080730803,0.168090001,0.194986999,0.179087996,0.208950996,0.082524002,0.037462801,3.329050064,0.538004994,0.534384012,0.200224996,0.256437004,0.239436999,0.293976009,0.000583377,0.038233899,0.000157271,-0.00508321
35,QN52,747951.1142,2351611.144,19.18,0,21.16,0,40.34,0.0312915,0.031332899,0.055769499,0.031475101,0.0799383,0.204799995,0.236487001,0.255026013,0.258720994,0.069620997,0.025911,8.102490425,0.780279994,0.64111799,0.434985995,0.426353008,0.420029998,0.525236011,0.00211443,0.032019202,5.52497E-05,-0.278463989
36,QN37,750499.6858,2350260.79,39.71,23.77,23.99,0,87.47,0.040489599,0.045317098,0.068338402,0.060527399,0.0865032,0.128711998,0.139700994,0.132317007,0.141821995,0.043611899,0.019541301,2.186079979,0.372269005,0.318850011,0.17667,0.155423999,0.140479997,0.117804997,0.000580377,0.045644499,0.000250362,-0.0606138
37,QN38,749171.8026,2350857.003,22.21,22.12,34.41,0,78.74,0.032081101,0.031576499,0.0561256,0.032470401,0.0892189,0.244678006,0.28133601,0.275292009,0.304547012,0.077685401,0.0252632,8.47824955,0.788990021,0.661300004,0.466338992,0.450915992,0.448599994,0.682500005,0.00284479,0.032420699,5.91748E-05,-0.267001003
38,QN39,748607.261,2351019.681,11.88,12.61,22.95,37.79,85.23,0.0466487,0.0500484,0.074495003,0.0777262,0.081749603,0.0761443,0.101049997,0.082646497,0.085823499,0.047442801,0.0250473,1.063300014,0.0306808,0.0518739,0.025229299,0.0111763,0.00969193,0.0217243,1.03505E-05,0.0538304,0.000450051,0.0212269
39,QN49,746205.4609,2351354.102,16.65,13.62,21.37,0,51.64,0.033264998,0.031698301,0.056956399,0.029815899,0.079372302,0.232813999,0.259912014,0.27462101,0.28479901,0.072342798,0.024399601,9.210539818,0.804123998,0.656452,0.453862011,0.456476986,0.454629004,0.674915016,0.00223366,0.032144301,5.06336E-05,-0.312777996
40,QN53,747428.8034,2350508.923,19.97,14.98,15.81,36.18,86.94,0.0471722,0.047986701,0.069878101,0.078717597,0.101319999,0.153248996,0.174207002,0.185827002,0.178724006,0.072443597,0.035195701,2.36067009,0.404881001,0.453447014,0.125541002,0.210143,0.194778994,0.144429997,0.000368727,0.0526294,0.000432997,0.059487201
41,QN42,753269.598,2349861.548,16.22,18.52,0,0,34.74,0.0323442,0.0309675,0.048287299,0.026607599,0.063399702,0.179661006,0.205526993,0.208614007,0.223134995,0.054499701,0.020512899,7.840390205,0.773765981,0.624078989,0.408767015,0.371329993,0.357584,0.50701803,0.00124245,0.027566399,3.41858E-05,-0.28946799
42,QN43,754350.3792,2349425.671,23.78,28.82,0,0,52.6,0.030238399,0.031332899,0.0475743,0.0267183,0.070991702,0.212648004,0.239299998,0.241021007,0.260657012,0.062262099,0.0217005,9.020850182,0.800415993,0.670305014,0.453110993,0.41870299,0.41049701,0.636766016,0.00175278,0.0272818,3.39616E-05,-0.280728012
43,QN48,746587.2267,2349067.854,16.92,20.52,25.48,0,62.92,0.035105798,0.035594199,0.055532102,0.036008801,0.063626297,0.135581002,0.167936996,0.143004999,0.166258007,0.048753399,0.018461701,3.971400023,0.597698987,0.440587997,0.277186006,0.236364007,0.217574,0.281125009,0.000718019,0.033092499,7.20049E-05,-0.213274002
44,QN29,748150.7836,2347776.822,10.69,12.57,13.22,42.48,78.96,0.046255901,0.0513818,0.0739033,0.081140898,0.112507001,0.165055007,0.179324999,0.168077007,0.177907005,0.053995602,0.027314501,2.071419954,0.348836005,0.389180005,0.161973998,0.174053997,0.159479007,0.144042999,0.000741657,0.0548761,0.000486568,0.046681099
45,QN30,748906.3695,2348603.356,10.43,12.07,13.06,25.64,61.2,0.0457322,0.052593701,0.077216201,0.084444501,0.113411002,0.164605007,0.182354003,0.197053999,0.191287994,0.084540002,0.041673299,2.333539963,0.400036007,0.436933994,0.146400005,0.216141999,0.201129004,0.142106995,0.000629347,0.0572128,0.000550619,0.0447133
46,QN36,749939.9796,2348746.912,28.94,12.24,12.12,32.4,85.7,0.040883102,0.043010101,0.060871299,0.0542369,0.0799383,0.150548995,0.168042004,0.156499997,0.166870996,0.0412932,0.0151148,2.885479927,0.485264003,0.439931989,0.191551,0.215823993,0.198697001,0.214330003,0.000562554,0.040764399,0.000179061,-0.057636
47,QN40,746802.0915,2348395.066,15.61,17.21,0,0,32.82,0.038127199,0.039364599,0.059566598,0.053353801,0.087521598,0.172360003,0.195405006,0.207267001,0.213645995,0.084338397,0.037138999,3.88477993,0.590565026,0.553530991,0.242540002,0.303528994,0.288159996,0.279745996,0.000976411,0.039983701,0.000169564,-0.0550193
48,QN44,754006.7628,2347226.995,16.25,0,34.56,23.37,74.18,0.030896701,0.0303583,0.050307199,0.027050201,0.072464302,0.204350993,0.233674005,0.241134003,0.252912015,0.0621612,0.0215925,8.914299965,0.798271,0.654769003,0.456357002,0.418031991,0.409790009,0.582686007,0.00186119,0.028559299,3.68104E-05,-0.30064401
49,QN45,750828.811,2346906,41.63,38,23.6,57.1,160.33,0.0311599,0.030236401,0.053751402,0.027160799,0.080730803,0.230798006,0.258246988,0.271039009,0.275633007,0.0682097,0.022672201,9.979029655,0.817834973,0.669008017,0.496517003,0.458303005,0.45628199,0.660643995,0.00258069,0.030112,3.9653E-05,-0.328635007
50,QN28,747098.5696,2346012.619,19.52,18.47,39.13,38.75,115.87,0.0419323,0.040093999,0.060396899,0.052139301,0.076428302,0.129500002,0.141898006,0.134904996,0.144275993,0.048450999,0.020297,2.58739996,0.442492992,0.381503999,0.188920006,0.180700004,0.164213002,0.152087003,0.000512076,0.039894499,0.00016419,-0.073376603
51,QN46,749378.4715,2343902.038,39.05,31.07,20.56,62.61,153.29,0.0312915,0.030236401,0.0423427,0.025722399,0.052060802,0.152574003,0.177236006,0.173021004,0.189041004,0.0432087,0.0166263,6.726480007,0.741150022,0.606779993,0.338613003,0.316208005,0.298234999,0.44404,0.000642519,0.0247717,2.80157E-05,-0.244182006
52,QN47,748246.4673,2343138.274,21.55,22.98,30.93,53.45,128.91,0.031949501,0.0304801,0.046861202,0.0278247,0.057164401,0.152798995,0.174310997,0.221402004,0.185261995,0.043007001,0.016950199,7.957049847,0.776712,0.650632977,0.345218003,0.387555003,0.37568,0.391555011,0.000800361,0.027249699,3.62805E-05,-0.254887998
53,QN54,684775.5497,2316860.909,27.62,0,21.28,39.04,87.94,0.039055102,0.042564701,0.060728598,0.042230401,0.070282802,0.163274005,0.194857001,0.190492004,0.208482996,0.070724398,0.0350108,4.510789871,0.63707602,0.516532004,0.249326006,0.303516001,0.286918998,0.354568005,0.000733334,0.036984399,0.000108304,-0.179665998
54,QN55,684934.8083,2315095.74,28.78,21.76,25.84,47.15,123.53,0.035614502,0.038752198,0.059271101,0.039221,0.0691723,0.180215999,0.214778006,0.229653001,0.244866997,0.081933603,0.034694102,5.855370045,0.708257973,0.589712024,0.276320994,0.371515006,0.359636009,0.45738399,0.000837769,0.035536401,9.11758E-05,-0.203571007
55,QN57,691757.733,2311445.767,23.77,12.52,17.89,27.35,81.53,0.049614798,0.038752198,0.0667978,0.039109498,0.084045202,0.250070989,0.30003801,0.31686601,0.332830995,0.087184198,0.0293098,8.1020298,0.780269027,0.651790023,0.364872009,0.486737013,0.492222011,0.776374996,0.00186421,0.038702399,0.000102171,-0.261438996
56,QN56,686970.1345,2310158.284,30.41,24.63,24.74,37.95,117.73,0.037070699,0.037767701,0.059757002,0.032195698,0.076832898,0.245721996,0.313722998,0.306989014,0.342290998,0.087688997,0.029732101,9.53512001,0.810159028,0.674124002,0.409408987,0.491180003,0.496282995,0.900358975,0.00184004,0.033939101,6.19417E-05,-0.299733996
57,HP24,700539.7287,2305802.21,31.68,31.34,39.72,72.14,174.88,0.040637899,0.031750102,0.048213501,0.027406899,0.044381499,0.118152998,0.139987007,0.157335997,0.158190995,0.020032899,0,5.740729809,0.703296006,0.530880988,0.236453995,0.284622014,0.265570015,0.299712002,0.000301147,0.0277294,3.62149E-05,-0.275144994
58,HP25,700920.854,2305952.913,17.68,22.16,30.86,59.15,129.85,0.0354454,0.0341531,0.0499724,0.0288122,0.0399445,0.065740101,0.075116202,0.128391996,0.086694703,0.0140402,0,4.456160069,0.633441985,0.439657986,0.161908999,0.227280006,0.207883,0.076206498,0.000146255,0.0288417,4.14842E-05,-0.268583
59,HP21,699754.5944,2304144.08,43.76,25.68,23.52,45.84,138.8,0.0262661,0.0229757,0.039739199,0.0134052,0.0453672,0.195001006,0.254079998,0.268976003,0.280092001,0.031215601,0,20.06500053,0.905056,0.742551029,0.543824971,0.489986002,0.491048008,1.034489989,0.000985588,0.020969599,7.14115E-06,-0.495516002
60,HP22,700691.7826,2304797.673,48.83,16.69,46.73,30.83,143.08,0.026305901,0.0235078,0.036102898,0.0164697,0.041046999,0.156045005,0.221849993,0.250815988,0.236989006,0.0260409,0,15.22889996,0.876762986,0.748341024,0.427307993,0.458133996,0.454039007,0.780773997,0.000579744,0.019841,9.79291E-06,-0.373448998
61,HP23,700592.7974,2305257.991,57.16,18.44,23.52,67.24,166.36,0.029192301,0.022452099,0.036727201,0.012951,0.033915699,0.160743997,0.189053997,0.259981006,0.215965003,0.0187498,0,20.07419968,0.905097008,0.752435029,0.447326005,0.479400992,0.478345007,0.834645987,0.000451307,0.019471901,6.16018E-06,-0.478603989
62,HP26,700854.6074,2304212.469,19.22,24.43,21.63,63.5,128.78,0.033475,0.023201499,0.039885301,0.0164086,0.030997301,0.071646698,0.102003999,0.183223993,0.10402,0.015927101,0,11.16639996,0.835611999,0.642459989,0.307740003,0.357650012,0.341107011,0.197844997,0.000238763,0.021564299,1.07388E-05,-0.417037994
63,HP08,699714.2659,2302958.548,33.74,16.27,24.49,76.27,150.77,0.035614502,0.041827101,0.056962602,0.044236202,0.066617601,0.181418002,0.229260996,0.211881995,0.260078013,0.059109502,0.0224472,4.789790154,0.654564023,0.57624203,0.201901004,0.332578987,0.317981005,0.503872991,0.000457712,0.036061,0.000111467,-0.125756994
64,HP09,699886.1548,2303789.553,10.7,30.5,29.75,71.93,142.88,0.0238555,0.024505001,0.032575302,0.0183655,0.035903402,0.097439602,0.117879003,0.132923007,0.125740007,0.0167516,0,7.237679958,0.757212996,0.606338024,0.32316801,0.263841003,0.243325993,0.27007401,0.000295907,0.0186978,1.09873E-05,-0.278948009
65,HP10,700977.4949,2303948.558,21.8,33.87,42.62,98.44,196.73,0.034952398,0.035551701,0.0534373,0.0358762,0.064951301,0.196811005,0.256006002,0.222459003,0.277624995,0.055271201,0.020546701,6.200759888,0.722250998,0.612627983,0.288365006,0.369064987,0.356465995,0.667024016,0.00077841,0.032181699,6.87791E-05,-0.196623996
66,HP20,699455.7713,2303810.206,23.8,21.14,48.93,23.84,117.71,0.0239252,0.0217578,0.0404584,0.0142366,0.034680601,0.117949001,0.147709996,0.242474005,0.160089001,0.031012399,0,17.03179932,0.889084995,0.71400702,0.417932004,0.452427,0.446949989,0.453943014,0.000441584,0.021445099,8.2001E-06,-0.479420006
67,HP27,701660.6723,2303706.945,25,24.72,24.98,82.4,157.1,0.0323852,0.0229521,0.038365301,0.0145386,0.0326862,0.108147003,0.140456006,0.200761005,0.154081002,0.017537,0,13.80879974,0.864946008,0.679121971,0.384281009,0.390513003,0.37676999,0.416613013,0.000349948,0.020513801,8.10931E-06,-0.450376004
68,HP30,701681.5233,2304085.357,27.03,32.6,31.53,89.95,181.11,0.036938298,0.041212302,0.058299199,0.045907401,0.059172999,0.119133003,0.150968999,0.181646004,0.157286003,0.0522408,0.0281485,3.956799984,0.596513987,0.514063001,0.126241997,0.279852986,0.262688011,0.211520001,0.000173657,0.0371022,0.000122865,-0.118915997
69,HP31,701684.7359,2303920.431,30.25,28.57,41.86,98.02,198.7,0.033097599,0.042687699,0.057084098,0.0478011,0.0677284,0.194192007,0.233634993,0.173343003,0.248135,0.0578974,0.0257202,3.626329899,0.567691982,0.504535973,0.172487006,0.261130005,0.243662998,0.532826006,0.000354676,0.0372275,0.000130434,-0.088506497
70,HP33,700384.367,2303061.516,28.98,31.23,45.76,86.26,192.23,0.029649699,0.0312391,0.0501533,0.0258354,0.066617601,0.238434002,0.29578501,0.313827991,0.325911999,0.067492597,0.0221304,12.14719963,0.847876012,0.724417984,0.441114008,0.514478028,0.523304999,0.966187,0.00152891,0.0282082,3.34756E-05,-0.320021003
71,HP32,700976.5608,2302739.025,37,32.35,37.27,103.55,210.17,0.030843601,0.0339504,0.047476102,0.0306338,0.061951399,0.201939002,0.252887011,0.236845002,0.275074989,0.051937699,0.018646199,7.731470108,0.770943999,0.666037977,0.338256001,0.403028995,0.393422008,0.724461973,0.000890122,0.0282507,4.45531E-05,-0.215623006
72,HP29,683804.5878,2297052.532,13.93,23.55,18.84,39.45,95.77,0.035025202,0.031005699,0.049843501,0.032007501,0.066568397,0.187749997,0.227252007,0.217316002,0.239176005,0.077582598,0.031710699,6.789549828,0.743246019,0.626864016,0.350603014,0.37095201,0.357977986,0.550669014,0.00107885,0.029617799,5.10636E-05,-0.217908993
73,HP35,685127.3808,2295472.659,20.42,8.67,16.68,34.78,80.55,0.033937398,0.034539402,0.0564702,0.042603198,0.080007397,0.196447998,0.230026007,0.228961006,0.238032997,0.069516703,0.029242801,5.374279976,0.686239004,0.604317009,0.305065006,0.362298995,0.349979013,0.460193992,0.001223,0.035369199,0.000102495,-0.139966995
74,HP28,686305.5722,2292896.529,14.05,11.52,12.5,0,38.07,0.040593199,0.040840901,0.063455701,0.054776799,0.086547598,0.170331001,0.192739993,0.189916998,0.197751001,0.065636501,0.029135499,3.467099905,0.552282989,0.49911201,0.224806994,0.272206008,0.255679995,0.271519989,0.000862652,0.041914001,0.000190399,-0.073404998
75,HP34,686914.3941,2292435.63,28.95,16.11,20.22,58.43,123.71,0.040050499,0.033151601,0.0597803,0.033831399,0.086203501,0.250263989,0.301283002,0.291429013,0.329136014,0.094017401,0.0324618,8.614150047,0.791972995,0.659573972,0.436307013,0.468210995,0.469170004,0.776458025,0.00246607,0.034344699,6.84222E-05,-0.277197003
76,HP04,682903.026,2290598.008,17.18,17.17,19.46,60.56,114.37,0.044118099,0.045245301,0.064312801,0.049090501,0.075989202,0.158254996,0.176143005,0.170295998,0.180647999,0.0608369,0.026023701,3.469029903,0.552475989,0.451745003,0.215053007,0.252727985,0.235238999,0.264598012,0.000660727,0.040453698,0.000154986,-0.134232
77,HP13,682369.5041,2290300.704,16.61,16.33,27.92,0,60.86,0.050883502,0.056295101,0.076176398,0.064320803,0.077596702,0.108351,0.133742005,0.099522397,0.124935001,0.041225899,0.020229099,1.547279954,0.214848995,0.132874995,0.093546703,0.079540499,0.0701847,0.096935801,0.000172479,0.049849801,0.000315154,-0.084383003
78,HP14,683895.3821,2291024.666,27.65,12.09,15.42,58.54,113.7,0.043304998,0.042729199,0.0610057,0.0430586,0.0707056,0.163736001,0.191562995,0.188216999,0.199626997,0.065636501,0.027203999,4.371180058,0.627641976,0.510432005,0.243019998,0.297749996,0.280975014,0.343896002,0.000710721,0.0373354,0.000113107,-0.172462001
79,HP03,680851.9659,2289847.026,16.74,13.88,15.59,39.91,86.12,0.040321801,0.0422257,0.0628433,0.0390728,0.079318702,0.237724006,0.277718991,0.277922004,0.299035996,0.097793601,0.038363099,7.112919807,0.753480017,0.631164014,0.339938998,0.438526005,0.43531701,0.715241015,0.00148712,0.0369999,9.59419E-05,-0.233235002
